"Abaru Precious2b_192218 - RawData"
"Wavelength nm.","Abs."
200.0, 
200.5, 
201.0, 
201.5, 
202.0, 
202.5, 
203.0, 
203.5, 
204.0, 
204.5, 
205.0, 
205.5, 
206.0, 
206.5, 
207.0, 
207.5, 
208.0, 
208.5, 
209.0, 
209.5, 
210.0, 
210.5, 
211.0, 
211.5, 
212.0, 
212.5, 
213.0, 
213.5, 
214.0, 
214.5, 
215.0, 
215.5, 
216.0, 
216.5, 
217.0, 
217.5, 
218.0, 
218.5, 
219.0, 
219.5, 
220.0, 
220.5, 
221.0, 
221.5, 
222.0, 
222.5, 
223.0, 
223.5, 
224.0, 
224.5, 
225.0, 
225.5, 
226.0, 
226.5, 
227.0, 
227.5, 
228.0, 
228.5, 
229.0, 
229.5, 
230.0, 
230.5, 
231.0, 
231.5, 
232.0, 
232.5, 
233.0, 
233.5, 
234.0, 
234.5, 
235.0, 
235.5, 
236.0, 
236.5, 
237.0, 
237.5, 
238.0, 
238.5, 
239.0, 
239.5, 
240.0, 
240.5, 
241.0, 
241.5, 
242.0, 
242.5, 
243.0, 
243.5, 
244.0, 
244.5, 
245.0, 
245.5, 
246.0, 
246.5, 
247.0, 
247.5, 
248.0, 
248.5, 
249.0, 
249.5, 
250.0, 
250.5, 
251.0, 
251.5, 
252.0, 
252.5, 
253.0, 
253.5, 
254.0, 
254.5, 
255.0, 
255.5, 
256.0, 
256.5, 
257.0, 
257.5, 
258.0, 
258.5, 
259.0, 
259.5, 
260.0, 
260.5, 
261.0, 
261.5, 
262.0, 
262.5, 
263.0, 
263.5, 
264.0, 
264.5, 
265.0, 
265.5, 
266.0, 
266.5, 
267.0, 
267.5, 
268.0, 
268.5, 
269.0, 
269.5, 
270.0, 
270.5, 
271.0, 
271.5, 
272.0, 
272.5, 
273.0, 
273.5, 
274.0, 
274.5, 
275.0, 
275.5, 
276.0, 
276.5, 
277.0, 
277.5, 
278.0, 
278.5, 
279.0, 
279.5, 
280.0, 
280.5, 
281.0, 
281.5, 
282.0, 
282.5, 
283.0, 
283.5, 
284.0, 
284.5, 
285.0, 
285.5, 
286.0, 
286.5, 
287.0, 
287.5, 
288.0, 
288.5, 
289.0, 
289.5, 
290.0, 
290.5, 
291.0, 
291.5, 
292.0, 
292.5, 
293.0, 
293.5, 
294.0, 
294.5, 
295.0, 
295.5, 
296.0, 
296.5, 
297.0, 
297.5, 
298.0, 
298.5, 
299.0, 
299.5, 
300.0,1.1444
300.5,1.1511
301.0,1.1331
301.5,1.1325
302.0,1.1214
302.5,1.1078
303.0,1.1057
303.5,1.0912
304.0,1.0825
304.5,1.0731
305.0,1.0751
305.5,1.0708
306.0,1.0823
306.5,1.0649
307.0,1.0519
307.5,1.0430
308.0,1.0547
308.5,1.0392
309.0,1.0222
309.5,1.0316
310.0,1.0315
310.5,1.0185
311.0,1.0162
311.5,1.0191
312.0,1.0118
312.5,1.0085
313.0,0.9996
313.5,0.9953
314.0,0.9984
314.5,0.9943
315.0,0.9861
315.5,0.9839
316.0,0.9794
316.5,0.9772
317.0,0.9794
317.5,0.9699
318.0,0.9692
318.5,0.9642
319.0,0.9634
319.5,0.9590
320.0,0.9563
320.5,0.9547
321.0,0.9527
321.5,0.9512
322.0,0.9480
322.5,0.9449
